Region,Color,Population
Amazonas,#D9F0A3,417365
Ancash,#E31A1C,1139115
Apurimac,#88419D,424259
Arequipa,#FED976,1460433
Ayacucho,#810F7C,650940
Cajamarca,#E0ECF4,1427527
Callao,#FC4E2A,1046953
Cusco,#8C6BB1,1315220
Huancavelica,#8C96C6,367252
Huanuco,#BFD3E6,759962
Ica,#FEB24C,893292
Junin,#6BAED6,1316894
La Libertad,#BD0026,1888972
Lambayeque,#800026,1244821
Lima,#FD8D3C,10135009
Loreto,#ADDD8E,981897
Madre De Dios,#006837,161204
Moquegua,#80471C,182017
Pasco,#9EBCDA,272136
Piura,#FFEDA0,1929970
Puno,#4D004B,1226936
San Martin,#78C679,862459
Tacna,#5E2C04,349056
Tumbes,#FFFFCC,234698
Ucayali,#31A354,548998